energy,intensity
9.655,1.5403400000000002e-05
11.014,2.90063e-05
11.129,2.90063e-05
12.083,7.0013e-06
12.822,0.000254056
13.085,1.22025e-05
13.326,3.9008e-06
13.442,0.000251046
13.635,5.8013e-05
13.636,1.28027e-05
13.777,8.5019e-07
13.796,8.601900000000001e-06
15.25,1.84033e-06
15.741,5.5010000000000004e-05
16.063,5.5010000000000004e-05
16.079,3.2406699999999998e-06
16.203,8.401499999999999e-06
16.213,3.80078e-06
16.224,6.0012e-08
16.812,1.4603e-06
16.928,1.28026e-07
76.862,0.0005331200000000001
79.29,0.0008902
89.837,0.00030607000000000003
92.315,9.5022e-05
