energy,intensity
10.132,0.00612579
11.596,0.01111047
11.725,0.01111047
12.851,0.004113421
13.519,0.09809140000000001
13.893,0.00349385
14.063,0.0015514489999999999
14.315,0.1471219
14.403,0.02272128
14.513,0.00352395
14.562,0.000358334
14.591,0.00370346
16.238,0.00111092
16.767,0.03292737
17.104,0.00094104
17.122,0.03292737
17.257,0.001061187
17.279,0.005504589999999999
17.31,3.8032000000000004e-05
17.905,0.00043648600000000004
18.043,6.47723e-05
81.07,0.1291477
83.789,0.213243
94.878,0.0739842
97.53,0.0236266
