85.04	346.34	4.6630e-03	2.9951e+00
135.94	166.73	5.9753e-03	3.3969e+00
53.38	35.98	4.6673e-03	3.4741e+00
77.33	250.41	4.5057e-03	3.3433e+00
169.90	50.53	4.5491e-03	3.5493e+00
135.09	258.11	3.9943e-03	2.9339e+00
60.88	182.15	3.5159e-03	2.7579e+00
139.04	343.39	4.4630e-03	2.9181e+00
186.89	141.87	3.0619e-03	2.5895e+00
81.54	298.15	4.3708e-03	2.9189e+00
18.46	116.23	2.7215e-03	4.0193e+00
141.60	19.04	3.8408e-03	2.8850e+00
82.43	22.88	5.8639e-03	3.2195e+00
49.83	354.32	4.8064e-03	2.8899e+00
94.85	94.08	2.0059e-03	5.5799e+00
180.17	93.29	4.0089e-03	2.8862e+00
142.33	286.25	4.4569e-03	2.9300e+00
159.08	191.25	5.4708e-03	2.9839e+00
65.40	203.18	5.7425e-03	3.4807e+00
16.47	63.60	3.7807e-03	3.4280e+00
121.18	184.75	4.6503e-03	2.7622e+00
111.77	229.99	3.4777e-03	2.8485e+00
49.85	312.64	4.0886e-03	2.8594e+00
140.53	221.33	4.3121e-03	2.9936e+00
49.47	263.93	3.3352e-03	2.3771e+00
122.92	290.10	4.8222e-03	3.0462e+00
86.65	206.09	6.2795e-03	3.4712e+00
105.02	358.27	4.2412e-03	2.7490e+00
87.14	168.97	4.9076e-03	3.0659e+00
151.58	256.80	4.4186e-03	2.9832e+00
44.67	130.93	6.1482e-04	2.5887e+00
125.60	258.53	4.7202e-03	3.0892e+00
159.11	347.40	4.7439e-03	3.0973e+00
160.02	172.11	6.0562e-03	3.2956e+00
106.95	165.10	4.5687e-03	2.9623e+00
22.95	154.39	2.2951e-03	3.7148e+00
186.83	90.44	3.7317e-03	3.3483e+00
101.78	11.00	5.3547e-03	3.0476e+00
136.22	62.84	1.3102e-03	5.9191e+00
118.59	114.74	1.6989e-03	4.0677e+00
99.30	233.95	3.3511e-03	2.8287e+00
102.67	260.03	5.9950e-03	3.4362e+00
25.62	68.21	3.8284e-03	3.4972e+00
114.42	340.63	4.4335e-03	2.9151e+00
101.91	294.42	5.4376e-03	3.2301e+00
57.43	83.63	1.2557e-03	5.0557e+00
50.36	25.41	4.6582e-03	3.3103e+00
64.01	301.64	3.8940e-03	2.7871e+00
51.76	202.83	7.7788e-03	3.8483e+00
94.80	125.63	1.1710e-03	3.7061e+00
127.63	234.08	5.7008e-03	3.2976e+00
52.63	380.68	2.2729e-03	2.2390e+00
126.23	13.08	3.5976e-03	2.5054e+00
65.42	350.18	4.3842e-03	2.9237e+00
159.21	290.42	4.7993e-03	2.8421e+00
150.65	194.09	3.7535e-03	2.8025e+00
59.36	255.00	4.2971e-03	3.2320e+00
153.18	157.00	4.8350e-03	3.0697e+00
50.22	295.94	4.7452e-03	2.9271e+00
86.34	12.32	5.5005e-03	3.4158e+00
147.45	224.79	4.0724e-03	2.9436e+00
94.80	16.23	2.8960e-03	2.9607e+00
50.18	327.80	4.5357e-03	2.6955e+00
35.29	155.00	2.8875e-03	3.8927e+00
191.63	126.46	3.2793e-03	2.4185e+00
92.34	62.25	1.1098e-03	5.0078e+00
134.41	23.66	4.6204e-03	3.3725e+00
78.76	112.43	2.3780e-03	5.5583e+00
