energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
79.54,0.08,0.0012,0.0004,134.51,54.97,E1,,,0.2,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
82.2,0.1,0.0009,0.0003,82.13,0.0,E2,,,22.5,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
83.0,0.1,1.5e-06,4e-07,243.85,160.48,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
85.0,0.5,1.2e-05,3e-06,219.61,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
86.1,0.1,0.00052,0.00014,187.18,101.0,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
86.7,0.2,0.003,0.0009,99.63,12.89,[M1+E2],,,11.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
88.1,0.1,0.0008,0.0003,101.0,12.89,[M1+E2],,,10.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
88.1,0.1,0.0008,0.0003,189.1,101.0,[M1+E2],,,10.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
88.5,0.6,1.1e-06,3e-07,222.75,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
90.0,0.1,0.0002,9e-05,172.08,82.13,[E1],,,0.144,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
99.6,0.1,0.0056,0.0017,99.63,0.0,M1+E2,,,6.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
101.0,0.1,0.0008,0.0004,101.0,0.0,[M1+E2],,,6.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
105.0,0.2,0.00038,0.00015,187.18,82.13,M1,,,13.3,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
106.85,0.1,0.0012,0.0004,189.1,82.13,M1(+E2),,,10.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
108.0,0.3,4.6e-05,2e-05,242.63,134.51,[M1+E2],,,9.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
118.7,0.4,4.6e-05,2e-05,219.61,101.0,[E1],,,0.317,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
121.6,0.1,0.0014,0.0005,365.47,243.85,[E1],,,0.299,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
121.6,0.1,0.0014,0.0005,134.51,12.89,[E1],,,0.299,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
134.5,0.1,0.00061,0.00022,134.51,0.0,E1,,,0.233,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
137.4,0.1,0.00046,0.0002,219.61,82.13,[E1],,,0.221,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
140.9,0.1,0.00023,9e-05,222.75,82.13,[E1],,,0.208,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
143.0,0.1,0.0003,0.0001,242.63,99.63,[E1],,,0.201,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
143.0,0.1,0.0003,0.0001,365.47,222.75,[M1+E2],,,3.7,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
143.65,0.05,2.9e-05,8e-06,244.66,101.0,M1,,,5.38,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
146.0,0.2,1e-05,3e-06,365.47,219.61,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
147.61,0.08,0.0027,0.0008,160.48,12.89,E1,,,0.186,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
