energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
285.46,0.002,0.7939,0.0064,285.46,0.0,E2,,,0.247,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
315.88,0.003,1.6,0.012,391.586,75.706,E1(+M2),0.008,8,0.0372,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
322.26,,0.0052,,330.125,7.861,[E2],,,0.174,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
334.31,0.002,2.056,0.013,391.586,57.276,E1(+M2),0.006,6,0.0329,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
392.4,0.5,0.0016,0.0,556.2,163.76,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
429.5,0.5,0.0039,0.0,505.2,75.706,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
434.7,0.5,0.013,0.0,492.2,57.276,E1(+M2),-0.002,2,0.019,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
447.6,0.5,0.00026,0.0,505.2,57.276,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
454.2,0.5,0.00082,0.0,511.81,57.276,[M1],,,0.383,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
461.9,0.5,0.0016,0.0,469.8,7.861,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
469.8,0.5,0.0011,0.0,469.8,0.0,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
484.3,0.5,0.001,0.0,492.2,7.861,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
492.3,0.5,0.006,0.0,492.2,0.0,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
497.8,0.5,0.0032,0.0,505.2,7.861,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
498.7,,0.001,1e-07,556.2,57.276,,,,,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
504.2,0.5,0.00078,0.0,511.81,7.861,[E2],,,0.0516,,93,146,Np,,0,,5/2+,2.356,,3,d,203558.4,259.2,B-,100,,722.8,9,94,145,Pu,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
