energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
83.7,0.2,,,516.68,432.98,,,,,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
84.35,0.08,0.04,0.005,219.02,134.66,[M1+E2],,,26.0,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
113.7,0.1,0.024,0.005,518.59,404.9,[M1+E2],,,8.0,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
134.65,0.08,0.014,0.003,134.66,0.0,[E2],,,4.94,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
157.35,0.08,0.02,0.004,219.02,61.67,[E2],,,2.56,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
165.7,0.05,0.12,0.01,227.379,61.67,E3,,,30.4,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
177.52,0.02,17.3,0.9,404.9,227.379,E2,,,1.567,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
227.38,0.02,6.8,0.3,227.379,0.0,M2+E3,0.52,9.0,10.3,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
256.65,0.08,0.13,0.01,318.31,61.67,[E1],,,0.0611,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
265.86,0.08,0.43,0.03,265.86,0.0,[E1],,,0.0565,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
284.2,0.1,0.12,0.01,345.89,61.67,[E1],,,0.0489,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
285.41,0.08,1.13,0.09,285.41,0.0,[E1],,,0.0484,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
289.3,0.1,0.07,0.007,516.68,227.379,[M1+E2],,,0.9,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
291.2,0.08,0.3,0.03,518.59,227.379,[M1+E2],,,0.9,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
315.8,0.1,0.024,0.003,581.67,265.86,[M1+E2],,,0.7,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
318.3,0.1,0.05,0.005,318.31,0.0,[E1],,,0.0384,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
345.9,0.1,0.043,0.004,345.89,0.0,[E1],,,0.0322,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
354.3,0.1,0.013,0.002,581.67,227.379,[M1+E2],,,0.5,,98,153,Cf,,0,,1/2+,898,,44,Y,28338119525.183617,1388504742.882048,A,100,,6177.0,9,96,151,Cm,31-Mar-2014,C. D. NESARAJA,2024-02-06,,
